Column 1,Column 2
Icknield,E05002688
"Lacey Green, Speen and the Hampdens Ward",E05002689
Marlow North and West,E05002690
Marlow South East,E05002691
Micklefield,E05002692
Oakridge and Castlefield,E05002693
Ryemead,E05002694
Sands,E05002695
Stokenchurch and Radnage,E05002696
Terriers and Amersham Hill,E05002697
Totteridge,E05002698
The Risboroughs,E05002699
The Wooburns,E05002700
Tylers Green and Loudwater,E05002701
Abbey,E05002702
Arbury,E05002703
Castle,E05002704
Cherry Hinton,E05002705
Coleridge,E05002706
East Chesterton,E05002707
King's Hedges,E05002708
Market,E05002709
Newnham,E05002710
Petersfield,E05002711
Queen Edith's,E05002712
Romsey,E05002713
Trumpington,E05002714
West Chesterton,E05002715
Bottisham,E05002716
Burwell,E05002717
Cheveley,E05002718
Downham Villages,E05002719
Dullingham Villages,E05002720
Ely East,E05002721
Ely North,E05002722
Ely South,E05002723
Ely West,E05002724
Fordham Villages,E05002725
Haddenham,E05002726
Isleham,E05002727
Littleport East,E05002728
Littleport West,E05002729
Soham North,E05002730
Soham South,E05002731
Stretham,E05002732
Sutton,E05002733
The Swaffhams,E05002734
Bassenhally,E05002735
"Benwick, Coates and Eastrea Ward",E05002736
Birch,E05002737
Clarkson,E05002738
Delph,E05002739
Doddington,E05002740
Elm and Christchurch,E05002741
Hill,E05002742
Kingsmoor,E05002743
Kirkgate,E05002744
Lattersey,E05002745
Manea,E05002746
March East,E05002747
March North,E05002748
March West,E05002749
Medworth,E05002750
Parson Drove and Wisbech St. Mary,E05002751
Peckover,E05002752
Roman Bank,E05002753
St. Andrews,E05002754
St. Marys,E05002755
Slade Lode,E05002756
Staithe,E05002757
The Mills,E05002758
Waterlees,E05002759
Wenneye,E05002760
Wimblington,E05002761
Brampton,E05002763
Elton and Folksworth,E05002767
Godmanchester,E05002769
Huntingdon East,E05002771
Huntingdon North,E05002772
St. Ives West,E05002779
St. Neots Eaton Socon,E05002781
Sawtry,E05002784
Stilton,E05002786
Yaxley and Farcet,E05002790
Balsham,E05002791
Bar Hill,E05002792
Barton,E05002793
Bassingbourn,E05002794
Bourn,E05002795
Caldecote,E05002796
Comberton,E05002797
Cottenham,E05002798
Duxford,E05002799
Fowlmere and Foxton,E05002800
Fulbourn,E05002801
Gamlingay,E05002802
Girton,E05002803
Hardwick,E05002804
Harston and Hauxton,E05002805
Haslingfield and The Eversdens,E05002806
Histon and Impington,E05002807
Linton,E05002808
Longstanton,E05002809
Melbourn,E05002810
Meldreth,E05002811
Milton Ward (DET),E05002812
Milton,E05002812
Orwell and Barrington,E05002813
Papworth and Elsworth,E05002814
Sawston,E05002815
Swavesey,E05002816
Teversham,E05002817
The Abingtons,E05002818
The Mordens,E05002819
The Shelfords and Stapleford,E05002820
The Wilbrahams,E05002821
Waterbeach,E05002822
Whittlesford,E05002823
Willingham and Over,E05002824
All Saints,E05003114
Aspatria,E05003115
Boltons,E05003116
Broughton St. Bridget's,E05003117
Christchurch,E05003118
Clifton,E05003119
Crummock,E05003120
Dalton,E05003121
Derwent Valley,E05003122
Ellen,E05003123
Ellenborough,E05003124
Ewanrigg,E05003125
Flimby,E05003126
Harrington,E05003127
Holme,E05003128
Keswick,E05003129
Marsh,E05003130
Moorclose,E05003131
Moss Bay,E05003132
Netherhall,E05003133
St. John's,E05003134
St. Michael's,E05003135
Seaton,E05003136
Silloth,E05003137
Solway,E05003138
Stainburn,E05003139
Wampool,E05003140
Warnell,E05003141
Waver,E05003142
Wharrels,E05003143
Wigton,E05003144
Barrow Island,E05003145
Central,E05003146
Dalton North,E05003147
Dalton South,E05003148
Hawcoat,E05003149
Hindpool,E05003150
Newbarns,E05003151
Ormsgill,E05003152
Parkside,E05003153
Risedale,E05003154
Roosecote,E05003155
Walney North,E05003156
Walney South,E05003157
Belah,E05003158
Belle Vue,E05003159
Botcherby,E05003160
Brampton,E05003161
Burgh,E05003162
Castle,E05003163
Currock,E05003164
Dalston,E05003165
Denton Holme,E05003166
Great Corby and Geltsdale,E05003167
Harraby,E05003168
Hayton,E05003169
Irthing,E05003170
Longtown & Rockcliffe,E05003171
Lyne,E05003172
Morton,E05003173
St. Aidans,E05003174
Stanwix Rural,E05003175
Stanwix Urban,E05003176
Upperby,E05003177
Wetheral,E05003178
Yewdale,E05003179
Arlecdon,E05003180
Beckermet,E05003181
Bootle,E05003182
Bransty,E05003183
Cleator Moor North,E05003184
Cleator Moor South,E05003185
Distington,E05003186
Egremont North,E05003187
Egremont South,E05003188
Ennerdale,E05003189
Frizington,E05003190
Gosforth,E05003191
Harbour,E05003192
Haverigg,E05003193
Hensingham,E05003194
Hillcrest,E05003195
Holborn Hill,E05003196
Kells,E05003197
Millom Without,E05003198
Mirehouse,E05003199
Moresby,E05003200
Newtown,E05003201
St. Bees,E05003202
Sandwith,E05003203
Seascale,E05003204
Alston Moor,E05003205
Appleby (Appleby),E05003206
Appleby (Bongate),E05003207
Askham,E05003208
Brough,E05003209
Crosby Ravensworth,E05003210
Dacre,E05003211
Eamont,E05003212
Greystoke,E05003213
Hartside,E05003214
Hesket,E05003215
Kirkby Stephen,E05003216
Kirkby Thore,E05003217
Kirkoswald,E05003218
Langwathby,E05003219
Lazonby,E05003220
Long Marton,E05003221
Morland,E05003222
Orton with Tebay,E05003223
Penrith Carleton,E05003224
Penrith East,E05003225
Penrith North,E05003226
Penrith Pategill,E05003227
Penrith South,E05003228
Penrith West,E05003229
Ravenstonedale,E05003230
Shap,E05003231
Skelton,E05003232
Ullswater,E05003233
Warcop,E05003234
Ambleside and Grasmere,E05003235
Arnside and Beetham,E05003236
Broughton,E05003237
Burneside,E05003238
Burton and Holme,E05003239
Cartmel and Grange West,E05003240
Coniston and Crake Valley,E05003241
Crooklands,E05003242
Grange North,E05003243
Grange South,E05003244
Hawkshead,E05003245
Holker,E05003246
Kendal Castle,E05003247
Kendal Far Cross,E05003248
Kendal Fell,E05003249
Kendal Heron Hill,E05003250
Kendal Highgate,E05003251
Kendal Kirkland,E05003252
Kendal Mintsfeet,E05003253
Kendal Nether,E05003254
Kendal Oxenholme and Natland,E05003255
Kendal Parks,E05003256
Kendal Romney,E05003257
Kendal Stonecross,E05003258
Kendal Strickland,E05003259
Kendal Underley,E05003260
Levens,E05003261
Low Furness,E05003262
Lyth Valley,E05003263
Mid Furness,E05003264
Milnthorpe,E05003265
Sedbergh and Kirkby Lonsdale,E05003266
Staveley-in-Cartmel,E05003267
Staveley-in-Westmorland,E05003268
Ulverston Central,E05003269
Ulverston East,E05003270
Ulverston North,E05003271
Ulverston South,E05003272
Ulverston Town,E05003273
Ulverston West,E05003274
Whinfell,E05003275
Windermere Applethwaite and Troutbeck,E05003276
Windermere Bowness North,E05003277
Windermere Bowness South,E05003278
Windermere Town,E05003279
Alfreton,E05003280
Alport,E05003281
Belper Central,E05003282
Belper East,E05003283
Belper North,E05003284
Codnor and Waingroves,E05003286
Crich,E05003287
Heage and Ambergate,E05003289
Heanor and Loscoe,E05003290
Heanor West,E05003292
Ironville and Riddings,E05003293
Langley Mill and Aldercar,E05003295
Ripley,E05003296
Ripley and Marehay,E05003297
Somercotes,E05003299
South West Parishes,E05003300
Swanwick,E05003301
Wingfield,E05003302
Barlborough,E05003303
Blackwell,E05003304
Bolsover North West,E05003305
Bolsover South,E05003306
Bolsover West,E05003307
Clowne North,E05003308
Clowne South,E05003309
Elmton-with-Creswell,E05003310
Pinxton,E05003311
Pleasley,E05003312
Scarcliffe,E05003313
Shirebrook East,E05003314
Shirebrook Langwith,E05003315
Shirebrook North West,E05003316
Shirebrook South East,E05003317
Shirebrook South West,E05003318
South Normanton East,E05003319
South Normanton West,E05003320
Tibshelf,E05003321
Whitwell,E05003322
Barrow Hill and New Whittington,E05003323
Brimington North,E05003324
Brimington South,E05003325
Brockwell,E05003326
Dunston,E05003327
Hasland,E05003328
Hollingwood and Inkersall,E05003329
Holmebrook,E05003330
Linacre,E05003331
Loundsley Green,E05003332
Lowgates and Woodthorpe,E05003333
Middlecroft and Poolsbrook,E05003334
Moor,E05003335
Old Whittington,E05003336
Rother,E05003337
St. Helen's,E05003338
St. Leonard's,E05003339
Walton,E05003340
West,E05003341
Ashbourne North,E05003342
Ashbourne South,E05003343
Bakewell,E05003344
Bradwell,E05003345
Brailsford,E05003346
Calver,E05003347
Carsington Water,E05003348
Chatsworth,E05003349
Clifton and Bradley,E05003350
Darley Dale,E05003351
Dovedale and Parwich,E05003352
Doveridge and Sudbury,E05003353
Hartington and Taddington,E05003354
Hathersage and Eyam,E05003355
Hulland,E05003356
Lathkill and Bradford,E05003357
Litton and Longstone,E05003358
Masson,E05003359
Matlock All Saints,E05003360
Matlock St. Giles,E05003361
Norbury,E05003362
Stanton,E05003363
Tideswell,E05003364
Winster and South Darley,E05003365
Wirksworth,E05003366
Abbotsford,E05003367
Breaston,E05003368
Cotmanhay,E05003369
Derby Road East,E05003370
Derby Road West,E05003371
Draycott,E05003372
Hallam Fields,E05003373
Ilkeston Central,E05003374
Ilkeston North,E05003375
Kirk Hallam,E05003376
Little Eaton and Breadsall,E05003377
Little Hallam,E05003378
Long Eaton Central,E05003379
Nottingham Road,E05003380
Ockbrook and Borrowash,E05003381
Old Park,E05003382
Sandiacre North,E05003383
Sandiacre South,E05003384
Sawley,E05003385
Stanley,E05003386
West Hallam and Dale Abbey,E05003387
Wilsthorpe,E05003388
Barms,E05003389
Blackbrook,E05003390
Burbage,E05003391
Buxton Central,E05003392
Chapel East,E05003393
Chapel West,E05003394
Corbar,E05003395
Cote Heath,E05003396
Dinting,E05003397
Gamesley,E05003398
Hadfield North,E05003399
Hadfield South,E05003400
Hayfield,E05003401
Hope Valley,E05003402
Howard Town,E05003403
Limestone Peak,E05003404
New Mills East,E05003405
New Mills West,E05003406
Old Glossop,E05003407
Padfield,E05003408
St. John's,E05003409
Sett,E05003410
Simmondley,E05003411
Stone Bench,E05003412
Temple,E05003413
Tintwistle,E05003414
Whaley Bridge,E05003415
Whitfield,E05003416
Ashover,E05003417
Barlow and Holmesfield,E05003418
Brampton and Walton,E05003419
Clay Cross North,E05003420
Clay Cross South,E05003421
Coal Aston,E05003422
Dronfield North,E05003423
Dronfield South,E05003424
Dronfield Woodhouse,E05003425
Eckington North,E05003426
Eckington South,E05003427
Gosforth Valley,E05003428
Grassmoor,E05003429
Holmewood and Heath,E05003430
Killamarsh East,E05003431
Killamarsh West,E05003432
North Wingfield Central,E05003433
Pilsley and Morton,E05003434
Renishaw,E05003435
Ridgeway and Marsh Lane,E05003436
Shirland,E05003437
Sutton,E05003438
Tupton,E05003439
Unstone,E05003440
Wingerworth,E05003441
Axminster Rural,E05003459
Axminster Town,E05003460
Beer and Branscombe,E05003461
Broadclyst,E05003462
Budleigh,E05003463
Clyst Valley,E05003464
Coly Valley,E05003465
Dunkeswell,E05003466
Exe Valley,E05003467
Exmouth Brixington,E05003468
Exmouth Halsdon,E05003469
Exmouth Littleham,E05003470
Exmouth Town,E05003471
Exmouth Withycombe Raleigh,E05003472
Honiton St. Paul's,E05003475
Newbridges,E05003476
Newton Poppleford and Harpford,E05003477
Otterhead,E05003478
Ottery St. Mary Town,E05003480
Raleigh,E05003481
Seaton,E05003482
Sidmouth Rural,E05003483
Sidmouth Sidford,E05003484
Sidmouth Town,E05003485
Tale Vale,E05003486
Trinity,E05003487
Woodbury and Lympstone,E05003489
Yarty,E05003490
Alphington,E05003491
Cowick,E05003492
Duryard,E05003493
Exwick,E05003494
Heavitree,E05003495
Mincinglake,E05003496
Newtown,E05003497
Pennsylvania,E05003498
Pinhoe,E05003499
Polsloe,E05003500
Priory,E05003501
St. David's,E05003502
St. James,E05003503
St. Leonard's,E05003504
St. Loyes,E05003505
St. Thomas,E05003506
Topsham,E05003507
Whipton & Barton,E05003508
Bradninch,E05003510
Cadbury,E05003511
Canonsleigh,E05003512
Castle,E05003513
Clare and Shuttern,E05003514
Cranmore,E05003515
Cullompton North,E05003516
Cullompton Outer,E05003517
Cullompton South,E05003518
Halberton,E05003519
Lawrence,E05003520
Lower Culm,E05003521
Lowman,E05003522
Sandford and Creedy,E05003524
Silverton,E05003525
Taw,E05003526
Taw Vale,E05003527
Upper Culm,E05003528
Upper Yeo,E05003529
Way,E05003530
Westexe,E05003531
Bickington and Roundswell,E05003533
Bishop's Nympton,E05003534
Bratton Fleming,E05003535
Braunton East,E05003536
Braunton West,E05003537
Central Town,E05003538
Chittlehampton,E05003539
Chulmleigh,E05003540
Combe Martin,E05003541
Forches and Whiddon Valley,E05003542
Fremington,E05003543
Georgeham and Mortehoe,E05003544
Heanton Punchardon,E05003545
Ilfracombe Central,E05003546
Ilfracombe East,E05003547
Ilfracombe West,E05003548
Instow,E05003549
"Landkey, Swimbridge and Taw Ward",E05003550
Longbridge,E05003551
Lynton and Lynmouth,E05003552
Marwood,E05003553
Newport,E05003554
North Molton,E05003555
Pilton,E05003556
South Molton,E05003557
Witheridge,E05003558
Yeo Valley,E05003559
Allington and Loddiswell,E05003560
Avon and Harbourne,E05003561
Bickleigh and Shaugh,E05003562
Charterlands,E05003563
Cornwood and Sparkwell,E05003564
Dartington,E05003565
Dartmouth and Kingswear,E05003566
Dartmouth Townstal,E05003567
East Dart,E05003568
Eastmoor,E05003569
Erme Valley,E05003570
Ivybridge Central,E05003571
Ivybridge Filham,E05003572
Ivybridge Woodlands,E05003573
Kingsbridge East,E05003574
Kingsbridge North,E05003575
Marldon,E05003576
Newton and Noss,E05003577
Salcombe and Malborough,E05003578
Saltstone,E05003579
Skerries,E05003580
South Brent,E05003581
Stokenham,E05003582
Thurlestone,E05003583
Totnes Bridgetown,E05003584
Totnes Town,E05003585
Wembury and Brixton,E05003586
West Dart,E05003587
Westville and Alvington,E05003588
Yealmpton,E05003589
Ashburton and Buckfastleigh,E05003591
Bishopsteignton,E05003592
Bovey,E05003593
Bradley,E05003594
Buckland and Milber,E05003595
Bushell,E05003596
Chudleigh,E05003597
Dawlish Central and North East,E05003599
Dawlish South West,E05003600
Haytor,E05003601
Ipplepen,E05003602
Kenn Valley,E05003603
Kenton with Starcross,E05003604
Kerswell-with-Combe,E05003605
Kingsteignton East,E05003606
Kingsteignton West,E05003607
Moorland,E05003608
Shaldon and Stokeinteignhead,E05003609
Teignbridge North,E05003610
Teignmouth Central,E05003611
Teignmouth East,E05003612
Teignmouth West,E05003613
Teign Valley,E05003614
Appledore,E05003615
Bideford East,E05003616
Bideford North,E05003617
Bideford South,E05003618
Broadheath,E05003619
Clinton,E05003620
Clovelly Bay,E05003621
Coham Bridge,E05003622
Forest,E05003623
Hartland and Bradworthy,E05003624
Holsworthy,E05003625
Kenwith,E05003626
Monkleigh and Littleham,E05003627
Northam,E05003628
Orchard Hill,E05003629
Shebbear and Langtree,E05003630
Tamarside,E05003631
Three Moors,E05003632
Torrington,E05003633
Two Rivers,E05003634
Waldon,E05003635
Westward Ho!,E05003636
Winkleigh,E05003637
Bere Ferrers,E05003638
Bridestowe,E05003639
Buckland Monachorum,E05003640
Burrator,E05003641
Chagford,E05003642
Drewsteignton,E05003643
Exbourne,E05003644
Hatherleigh,E05003645
Lew Valley,E05003646
Lydford,E05003647
Mary Tavy,E05003648
Milton Ford,E05003649
North Tawton,E05003650
Okehampton East,E05003651
Okehampton West,E05003652
Tamarside,E05003653
Tavistock North,E05003654
Tavistock South,E05003655
Tavistock South West,E05003656
South Tawton,E05003657
Thrushel,E05003658
Walkham,E05003659
Burton and Winkton,E05003660
Grange,E05003661
Highcliffe,E05003662
Jumpers,E05003663
Mudeford and Friars Cliff,E05003664
North Highcliffe and Walkford,E05003665
Portfield,E05003666
Purewell and Stanpit,E05003667
St. Catherine's and Hurn,E05003668
Town Centre,E05003669
West Highcliffe,E05003670
Alderholt,E05003671
Ameysford,E05003672
Colehill East,E05003673
Colehill West,E05003674
Corfe Mullen Central,E05003675
Corfe Mullen North,E05003676
Corfe Mullen South,E05003677
Crane,E05003678
Ferndown Central,E05003679
Ferndown Links,E05003680
Handley Vale,E05003681
Holt,E05003682
Longham,E05003683
Parley,E05003684
St. Leonards and St. Ives East,E05003685
St. Leonards and St. Ives West,E05003686
Stapehill,E05003687
Stour,E05003688
Three Cross and Potterne,E05003689
Verwood Dewlands,E05003690
Verwood Newtown,E05003691
Verwood Stephen's Castle,E05003692
West Moors,E05003693
Wimborne Minster,E05003694
Abbey,E05003695
Blackmore,E05003696
Blandford Damory Down,E05003697
Blandford Hilltop,E05003698
Blandford Langton St. Leonards,E05003699
Blandford Old Town,E05003700
Blandford Station,E05003701
Bourton and,E05003702
Bulbarrow,E05003703
Cranborne Chase,E05003704
Gillingham Town,E05003705
Hill Forts,E05003706
Lodbourne,E05003707
Lydden Vale,E05003708
Marnhull,E05003709
Milton,E05003710
Motcombe and Ham,E05003711
Portman,E05003712
Riversdale,E05003713
Shaftesbury Central,E05003714
Shaftesbury Christy's,E05003715
Shaftesbury Grosvenor,E05003716
Shaftesbury Underhill,E05003717
Stour Valley,E05003718
The Beacon,E05003719
The Lower Tarrants,E05003720
The Stours,E05003721
Wyke,E05003722
Bere Regis,E05003723
Castle,E05003724
Creech Barrow,E05003725
Langton,E05003726
Lytchett Matravers,E05003727
Lytchett Minster and Upton East,E05003728
Lytchett Minster and Upton West,E05003729
St. Martin,E05003730
Swanage North,E05003731
Swanage South,E05003732
Wareham,E05003733
West Purbeck,E05003734
Winfrith,E05003735
Wool,E05003736
Beaminster,E05003737
Bradford Abbas,E05003738
Bradpole,E05003739
Bridport North,E05003740
Bridport South and Bothenhampton,E05003741
Broadmayne,E05003742
Broadwindsor,E05003743
Burton Bradstock,E05003744
Cam Vale,E05003745
Charminster and Cerne Valley,E05003746
Charmouth,E05003747
Chesil Bank,E05003748
Chickerell,E05003749
Chideock and Symondsbury,E05003750
Dorchester East,E05003751
Dorchester North,E05003752
Dorchester South,E05003753
Dorchester West,E05003754
Frome Valley,E05003755
Halstock,E05003756
Loders,E05003757
Lyme Regis,E05003758
Maiden Newton,E05003759
Marshwood Vale,E05003760
Netherbury,E05003761
Owermoigne,E05003762
Piddle Valley,E05003763
Puddletown,E05003764
Queen Thorne,E05003765
Sherborne East,E05003766
Sherborne West,E05003767
Winterborne St. Martin,E05003768
Yetminster,E05003769
Littlemoor,E05003770
Melcombe Regis,E05003771
Preston,E05003772
Radipole,E05003773
Tophill East,E05003774
Tophill West,E05003775
Underhill,E05003776
Upwey and Broadwey,E05003777
Westham East,E05003778
Westham North,E05003779
Westham West,E05003780
Wey Valley,E05003781
Weymouth East,E05003782
Weymouth West,E05003783
Wyke Regis,E05003784
Devonshire,E05003920
Hampden Park,E05003921
Langney,E05003922
Meads,E05003923
Old Town,E05003924
Ratton,E05003925
St. Anthony's,E05003926
Sovereign,E05003927
Upperton,E05003928
Ashdown,E05003929
Baird,E05003930
Braybrooke,E05003931
Castle,E05003932
Central St. Leonards,E05003933
Conquest,E05003934
Gensing,E05003935
Hollington,E05003936
Maze Hill,E05003937
Old Hastings,E05003938
Ore,E05003939
St. Helens,E05003940
Silverhill,E05003941
Tressell,E05003942
West St. Leonards,E05003943
Wishing Tree,E05003944
Barcombe and Hamsey,E05003945
Chailey and Wivelsfield,E05003946
Ditchling and Westmeston,E05003947
East Saltdean and Telscombe Cliffs,E05003948
Kingston,E05003949
Lewes Bridge,E05003950
Lewes Castle,E05003951
Lewes Priory,E05003952
Newhaven Denton and Meeching,E05003953
Newhaven Valley,E05003954
Newick,E05003955
Ouse Valley and Ringmer,E05003956
Peacehaven East,E05003957
Peacehaven North,E05003958
Peacehaven West,E05003959
"Plumpton, Streat, East Chiltington and St. John (Without) Ward",E05003960
Seaford Central,E05003961
Seaford East,E05003962
Seaford North,E05003963
Seaford South,E05003964
Seaford West,E05003965
Battle Town,E05003966
Brede Valley,E05003967
Central,E05003968
Collington,E05003969
Crowhurst,E05003970
Darwell,E05003971
Eastern Rother,E05003972
